        timestep           mean_z          mean_z2         st.dev-z         velocity       velocity^2         st.dev-v         prob chk        uncertainty
        1.000000         0.000000         0.000000         0.000000         0.000000         0.000000         0.000000         1.000000         0.000000 
        2.000000        -1.000000         1.000000         0.000000        -1.000000         1.000000         0.000000         1.000000         0.000000 
        3.000000        -1.000000         2.000000         1.000000        -0.000000         1.000000         1.000000         1.000000         1.000000 
        4.000000        -1.666667         3.666667         0.942809        -0.666667         1.666667         1.105542         1.000000         1.042315 
        5.000000        -2.333333         6.000000         0.745356        -0.666667         2.333333         1.374369         1.000000         1.024394 
        6.000000        -3.000000         9.666667         0.816497        -0.666667         3.666667         1.795055         1.000000         1.465656 
        7.000000        -3.500000        13.666667         1.190238        -0.500000         4.000000         1.936492         1.000000         2.304886 
        8.000000        -4.106383        18.361702         1.224468        -0.606383         4.695035         2.080225         1.000000         2.547168 
        9.000000        -4.744681        23.872340         1.166338        -0.638298         5.510638         2.259029         1.000000         2.634792 
       10.000000        -5.382979        30.489362         1.230001        -0.638298         6.617021         2.491906         1.000000         3.065047 
       11.000000        -5.946809        37.595745         1.493725        -0.563830         7.106383         2.605471         1.000000         3.891856 
       12.000000        -6.550802        45.427807         1.585812        -0.603994         7.832063         2.732628         1.000000         4.333433 
       13.000000        -7.179144        54.069519         1.590410        -0.628342         8.641711         2.871741         1.000000         4.567246 
       14.000000        -7.807487        63.721925         1.662852        -0.628342         9.652406         3.042629         1.000000         5.059443 
       15.000000        -8.391711        73.938503         1.875549        -0.584225        10.216578         3.142493         1.000000         5.893900 
       16.000000        -8.996818        84.894499         1.987904        -0.605107        10.955996         3.254204         1.000000         6.469043 
       17.000000        -9.620280        96.653940         2.025872        -0.623461        11.759441         3.372052         1.000000         6.831347 
       18.000000       -10.243741       109.371598         2.106506        -0.623461        12.717659         3.511261         1.000000         7.396492 
       19.000000       -10.837269       122.697061         2.291434        -0.593528        13.325463         3.601831         1.000000         8.253357 
       20.000000       -11.443560       136.769587         2.411333        -0.606291        14.072526         3.702018         1.000000         8.926799 
       21.000000       -12.064193       151.641200         2.469097        -0.620634        14.871613         3.806104         1.000000         9.397639 
       22.000000       -12.684827       167.437881         2.555982        -0.620634        15.796681         3.925748         1.000000        10.034141 
       23.000000       -13.283464       183.870953         2.724067        -0.598637        16.433072         4.009327         1.000000        10.921675 
       24.000000       -13.890701       201.055959         2.846820        -0.607237        17.185006         4.100764         1.000000        11.674138 
       25.000000       -14.509520       219.036919         2.917319        -0.618819        17.980960         4.195000         1.000000        12.238150 
       26.000000       -15.128339       237.920089         3.008895        -0.618819        18.883170         4.301190         1.000000        12.941827 
       27.000000       -15.730122       257.459845         3.165930        -0.601783        19.539756         4.379225         1.000000        13.864319 
       28.000000       -16.338090       277.754922         3.289640        -0.607968        20.295076         4.463793         1.000000        14.684271 
       29.000000       -16.955661       298.843599         3.368851        -0.617571        21.088678         4.550526         1.000000        15.330044 
       30.000000       -17.573232       320.817762         3.463998        -0.617571        21.974163         4.646802         1.000000        16.096515 
       31.000000       -18.177108       343.463546         3.613349        -0.603876        22.645784         4.720288         1.000000        17.056048 
       32.000000       -18.785646       366.867149         3.737201        -0.608538        23.403603         4.799300         1.000000        17.935949 
       33.000000       -19.402313       391.062523         3.822664        -0.616668        24.195373         4.880071         1.000000        18.654871 
       34.000000       -20.018981       416.130605         3.920586        -0.616668        25.068082         4.968682         1.000000        19.480147 
       35.000000       -20.624331       441.881943         4.064349        -0.605349        25.751339         5.038342         1.000000        20.477579 
       36.000000       -21.233318       468.393027         4.187984        -0.608988        26.511084         5.112750         1.000000        21.412119 
       37.000000       -21.849308       495.694412         4.278104        -0.615989        27.301385         5.188636         1.000000        22.197523 
       38.000000       -22.465297       523.858423         4.378227        -0.615989        28.164011         5.271107         1.000000        23.078103 
       39.000000       -23.071728       552.714967         4.517780        -0.606431        28.856544         5.337489         1.000000        24.113598 
       40.000000       -23.681078       582.332790         4.641048        -0.609350        29.617823         5.408005         1.000000        25.098811 
       41.000000       -24.296541       612.739707         4.734742        -0.615463        30.406917         5.479792         1.000000        25.945403 
       42.000000       -24.912005       644.001088         4.836643        -0.615463        31.261381         5.557210         1.000000        26.878241 
       43.000000       -25.519258       675.962573         4.972933        -0.607253        31.961485         5.620741         1.000000        27.951569 
       44.000000       -26.128904       708.686589         5.095781        -0.609646        32.724016         5.687912         1.000000        28.984353 
       45.000000       -26.743950       742.198690         5.192287        -0.615046        33.512101         5.756198         1.000000        29.887835 
       46.000000       -27.358996       776.558509         5.295646        -0.615046        34.359820         5.829369         1.000000        30.870274 
       47.000000       -27.966889       811.624731         5.429349        -0.607894        35.066221         5.890389         1.000000        31.980979 
       48.000000       -28.576781       847.454527         5.551768        -0.609891        35.829796         5.954648         1.000000        33.058819 
       49.000000       -29.191489       884.071549         5.650533        -0.614708        36.617022         6.019897         1.000000        34.015627 
       50.000000       -29.806197       921.530622         5.755107        -0.614708        37.459073         6.089434         1.000000        35.045342 
